0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,celltype,batch
-23.138033,9.311998,3.1237361,-5.8850317,4.9492817,1.2747365,-5.7872233,-5.8993363,-3.1223211,-3.6257637,1.918009,-6.050182,5.2429614,2.4730713,-2.7343907,0.8720969,-0.58570474,-3.2952287,2.8595037,-3.2410047,10.193688,-0.5683169,-3.848648,1.1647526,1.1353829,2.9694624,2.118255,1.9546627,-1.2038295,0.7451836,1.3745126,2.0675757,0.73269534,0.333549,0.61972153,0.41980284,0.64452934,2.4629738,-3.6104057,-1.7727249,-0.10115516,-0.49443558,2.841808,2.5363598,-0.7943385,2.691601,0.06789223,2.748903,-2.1613376,-0.2881815,gamma,celseq
-18.798605,-16.46791,-1.8667506,6.107237,1.3944995,2.4279995,-0.8575321,-4.453883,-5.4781036,-6.9083123,2.4530008,-12.425186,8.042912,3.3906007,-4.746123,0.52204585,-0.3307634,-4.296894,4.2949896,-1.638919,8.204101,1.8638482,-2.938628,-0.5482557,1.2174407,-0.87516075,0.5701407,-2.6330047,2.9920871,-2.9757247,-1.782926,1.8025302,-1.6809781,0.695752,-0.63474184,0.2720504,0.33754846,0.8723546,-0.029433915,-0.5908141,0.6902325,1.0673002,4.75679,3.4942367,-2.3984737,0.7324499,-0.77294284,1.597931,-0.7682223,2.5494828,gamma,celseq
-21.889973,2.6492152,1.8090736,0.8253257,2.5626478,1.7381532,-2.6323698,-3.5630395,-3.1297517,-4.290211,0.22415818,-9.652109,5.809412,4.015795,-1.8228738,-0.10492958,0.47301883,-3.3955014,3.4053118,-3.6446826,7.9952283,3.5341384,-3.8407617,-2.9916167,1.321789,0.29770324,-0.95824397,-0.6833833,3.843962,-0.6222945,-2.0817778,1.6514215,-0.66862106,0.5797777,-1.1721466,1.0620832,0.65653545,-0.18323909,-2.044548,0.32909307,-0.0566196,0.7290355,1.2552863,-0.48388156,-1.8918058,-0.22882928,-0.76755047,0.6275586,0.9524662,4.728107,gamma,celseq
-22.538279,-5.331365,-0.5695063,2.0203311,4.535846,2.3720653,-3.1754997,-3.3981228,-4.252817,-5.2757545,-1.2262999,-8.415151,3.901588,2.480737,-3.05594,0.23866723,-0.9782926,-4.647165,5.8434377,-3.965262,7.4696913,3.4256442,-2.2922063,-3.2653363,0.24383774,-3.5046875,-1.939617,0.31616232,5.014106,-1.9896038,0.8928304,2.2813709,-0.12410044,0.15345743,-0.4954937,-0.46349198,1.986262,1.6176016,-3.425589,-1.8565065,-0.6232704,3.0571077,2.608326,2.051339,0.09216206,-0.9644457,-0.9974006,2.5391958,-0.2871076,3.21856,gamma,celseq
-19.487425,8.279098,4.2667484,-3.2285273,27.932339,18.66664,6.9860654,-2.4419825,2.8198833,4.65951,-5.145632,-4.409785,-14.200315,4.914954,2.457426,-3.3896484,-1.5141604,-3.64188,8.651638,-10.806884,4.816157,1.3485596,0.76262945,-1.5816287,0.6151116,-11.009579,-0.77162325,2.4687052,-0.39676207,-0.08295373,-4.823059,-9.5866165,0.8013015,-0.46252117,0.22166912,4.228358,3.7460976,-1.2442509,-7.350168,3.2465172,-6.658027,1.8081381,0.7800168,-6.003677,5.4332786,1.2834905,-2.318955,3.1534154,1.3695563,-0.036209654,gamma,celseq
-25.759295,5.8264823,3.3442006,-5.761095,6.0969315,3.2270408,-4.492739,-4.3849874,-2.4132588,-3.921717,-0.108727984,-7.468921,6.3468285,1.2288389,0.2038256,-0.71440774,0.5921103,-4.9825306,1.8732595,-2.1881037,6.5919366,0.08927448,1.8047568,1.7432207,2.8589506,-2.3136203,1.5661473,-1.727493,2.7340074,-0.20805982,-0.6211679,1.6120949,-2.7964704,3.1470418,0.07517083,0.33791056,1.8484939,0.89184064,-3.3700535,-0.18499048,-1.4879217,3.2318668,3.2211442,3.4545996,0.7872915,0.83376545,0.71705586,0.70543087,1.433319,1.0033251,gamma,celseq
-17.39257,-23.554296,-0.07617449,-2.767359,3.799331,0.65042,3.2286673,-5.109832,-7.456615,-8.207087,0.32726637,-15.724383,8.762031,7.7011375,-4.1610003,-3.2944837,-2.3633025,-6.0826592,9.6823435,-0.33525178,11.4032545,-2.556882,-2.9220483,1.977927,-2.4735265,0.11317803,0.46609193,-2.994972,1.0245451,1.5265104,-3.806941,0.5810741,4.888203,-2.142788,0.6099708,2.8431976,-4.162409,2.180526,-2.4697518,3.100221,-0.81396073,-0.29100063,2.4748769,1.8567104,-0.5037711,-1.8033359,-1.4288936,-1.3032457,-1.7635986,0.3682137,gamma,celseq
-23.78706,-8.653914,0.8574057,1.4341973,3.4613843,-0.07310228,-5.884716,-4.1780825,-4.674368,-5.9719486,2.7430184,-12.214721,10.335521,3.9529784,-2.4092994,-3.874153,-2.1185634,-4.859625,7.3432803,-1.7030635,9.422841,-2.6154354,-1.1953363,1.1492631,0.79684865,-2.5757709,1.0005146,-3.86333,3.3292854,1.8104724,-1.9136076,5.4313197,2.8269413,1.2251885,-0.02693626,0.791362,2.1330009,1.7476895,-1.9345601,0.807002,1.3911289,0.51392037,4.387934,3.5208387,-1.1414547,-1.7319316,2.1101527,0.13698994,-2.2525086,2.3221507,gamma,celseq
-24.372242,4.2178483,1.5324668,-4.505175,3.4436285,-2.7281408,-1.8284607,-3.349043,-3.827614,-4.815288,1.6872815,-5.705899,5.386818,2.8533778,-0.22884779,-1.1736381,-2.2647588,-3.6243074,4.9031634,-1.5039223,6.7626038,0.6176765,-1.0723361,-1.9748981,2.3892379,0.55251294,-0.9048767,-1.1626662,1.0342743,1.6486579,-1.1753525,3.420405,0.47740078,-0.8089725,1.2153093,1.5869836,0.8160021,3.2909548,-2.7984142,-0.23930073,-0.7356434,2.2876577,2.5203693,1.1042243,-0.6989885,1.1272091,-0.6761536,0.28025314,-2.3487058,1.5087514,gamma,celseq
-9.781405,-37.76789,0.9932264,1.2270142,4.199398,-1.5834652,6.90877,-2.413437,-10.409663,-10.209872,3.584102,-8.982349,7.659772,10.61831,-3.7750442,1.6215112,-10.439503,-1.1270438,14.807864,6.7752934,6.8213573,-4.314983,-0.2704141,-0.5276605,3.326952,0.57594204,8.626467,3.9123924,6.515341,4.362295,-3.7291296,-1.2154391,1.8220351,-7.314944,-1.6915126,1.5135247,0.1634407,-3.130778,-0.18965702,2.7883859,1.9950103,-0.28513378,0.56665194,-2.1226661,2.502319,-0.35440168,3.9841182,-0.70573694,0.81520414,-0.9058357,gamma,celseq
